task_id,gpu_id,gpu_fraction,cpu_fraction,estimated_time,scheduled_time
5,0,1.0,0.0,5.166856306967474,1764284543.126428
19,2,1.0,0.0,7.927837455364752,1764284543.139324
31,1,1.0,0.0,0.8098062660316725,1764284543.152691
35,0,1.0,0.0,4.267526772772757,1764284543.166013
65,3,1.0,0.0,6.913942415895003,1764284543.178977
50,0,1.0,0.0,6.033296712616844,1764284543.191498
54,1,1.0,0.0,9.562961821243467,1764284543.20475
39,2,1.0,0.0,4.782129593472397,1764284543.218155
77,0,1.0,0.0,10.70222439867137,1764284543.230668
47,3,1.0,0.0,10.22756845762244,1764284543.244043
67,1,1.0,0.0,4.992828088300851,1764284543.257431
98,2,1.0,0.0,1.5705358606788844,1764284543.270037
42,1,1.0,0.0,2.85873015946713,1764284543.282707
6,0,1.0,0.0,4.367127018636531,1764284543.296115
59,3,1.0,0.0,3.603282488542763,1764284543.308416
94,1,1.0,0.0,0.4327012010204947,1764284543.321627
40,0,1.0,0.0,6.600786938766137,1764284543.334829
87,2,1.0,0.0,2.361091277441533,1764284543.348146
